#,pic,Digimon,Stage,Attribute,Memory,Equip Slots,HP,SP,ATK,DEF,INT,SPD
1,,Kuramon,Baby,Neutral,2,0,Free,Neutral,2,Free,Neutral,2
2,,Pabumon,Baby,Neutral,2,0,Free,Neutral,2,Free,Neutral,2
3,,Punimon,Baby,Neutral,2,0,Free,Neutral,2,Free,Dark,3
4,,Botamon,Baby,Neutral,2,0,Free,Fire,3,Free,Plant,3
5,,Poyomon,Baby,Neutral,2,0,Free,Earth,3,Free,Dark,3
6,,Arcadiamon In-Tr.,In-Training,Dark,3,0,Free,Neutral,3,Free,Light,3
7,,Koromon,In-Training,Fire,3,0,Free,Dark,3,Free,Plant,3
8,,Tanemon,In-Training,Plant,3,0,Free,Water,3,Free,Neutral,3
9,,Tsunomon,In-Training,Earth,3,0,Free,Wind,3,Vaccine,Fire,5
10,,Tsumemon,In-Training,Dark,3,0,Virus,Fire,5,Virus,Dark,5
11,,Tokomon,In-Training,Neutral,3,0,Free,Earth,4,Virus,Dark,5
12,,Nyaromon,In-Training,Light,3,0,Data,Electric,4,Virus,Water,4
13,,Pagumon,In-Training,Dark,3,0,Data,Neutral,5,Virus,Dark,4
14,,Yokomon,In-Training,Plant,3,0,Data,Fire,5,Virus,Fire,5
15,,Bukamon,In-Training,Water,3,0,Virus,Fire,5,Vaccine,Light,5
16,,Motimon,In-Training,Neutral,3,0,Free,Dark,5,Data,Earth,5
17,,Wanyamon,In-Training,Wind,3,0,Virus,Earth,4,Vaccine,Water,5
18,,Agumon,Rookie,Fire,5,1,Virus,Water,4,Vaccine,Neutral,5
19,,Agumon (Blk),Rookie,Fire,5,1,Vaccine,Light,4,Virus,Earth,4
20,,Arcadiamon Rookie,Rookie,Dark,5,1,Vaccine,Wind,4,Vaccine,Plant,4
21,,Armadillomon,Rookie,Earth,4,1,Vaccine,Neutral,4,Virus,Dark,5
22,,Impmon,Rookie,Dark,5,1,Data,Fire,5,Data,Neutral,5
23,,Elecmon,Rookie,Electric,4,1,Virus,Electric,4,Data,Wind,4
24,,Otamamon,Rookie,Water,4,1,Data,Fire,5,Data,Plant,5
25,,Gaomon,Rookie,Neutral,5,1,Virus,Dark,4,Vaccine,Wind,4
26,,Gazimon,Rookie,Dark,4,1,Vaccine,Wind,5,Virus,Plant,4
27,,Gabumon,Rookie,Fire,5,1,Free,Neutral,5,Vaccine,Light,4
28,,Gabumon (Blk),Rookie,Fire,5,1,Virus,Water,4,Free,Wind,5
29,,Guilmon,Rookie,Fire,5,1,Virus,Plant,4,Vaccine,Neutral,4
30,,Kudamon,Rookie,Light,5,1,Data,Plant,4,Vaccine,Light,14
31,,Keramon,Rookie,Dark,5,1,Data,Water,5,Data,Plant,5
32,,Gotsumon,Rookie,Earth,5,1,Data,Earth,4,Free,Plant,4
33,,Goblimon,Rookie,Earth,4,1,Virus,Water,8,Data,Water,6
34,,Gomamon,Rookie,Water,5,1,Free,Wind,8,Free,Fire,8
35,,Syakomon,Rookie,Water,4,1,Virus,Dark,8,Free,Earth,6
36,,Zubamon,Rookie,Neutral,5,1,Vaccine,Water,8,Data,Dark,8
37,,Solarmon,Rookie,Light,4,1,Free,Light,8,Virus,Plant,6
38,,Chuumon,Rookie,Earth,4,1,Vaccine,Wind,6,Free,Neutral,8
39,,Terriermon,Rookie,Wind,4,1,Vaccine,Light,8,Virus,Earth,8
40,,Tentomon,Rookie,Plant,4,1,Virus,Electric,6,Free,Electric,6
41,,ToyAgumon,Rookie,Neutral,4,1,Data,Wind,8,Vaccine,Plant,6
42,,Dracmon,Rookie,Dark,5,1,Virus,Water,6,Vaccine,Electric,6
43,,Dracomon,Rookie,Fire,5,1,Vaccine,Fire,8,Virus,Fire,8
44,,Dorumon,Rookie,Neutral,5,1,Data,Fire,8,Virus,Fire,8
45,,Hagurumon,Rookie,Electric,4,1,Free,Dark,8,Vaccine,Fire,8
46,,Patamon,Rookie,Wind,4,1,Virus,Fire,8,Data,Electric,6
47,,Hackmon,Rookie,Fire,5,1,Virus,Plant,6,Virus,Water,6
48,,Palmon,Rookie,Plant,5,1,Virus,Electric,6,Vaccine,Wind,8
49,,DemiDevimon,Rookie,Dark,4,1,Virus,Earth,8,Virus,Light,6
50,,Biyomon,Rookie,Wind,4,1,Virus,Earth,6,Virus,Earth,6
51,,Falcomon,Rookie,Wind,5,1,Virus,Dark,6,Data,Plant,6
52,,FanBeemon,Rookie,Plant,4,1,Data,Water,6,Data,Water,6
53,,Veemon,Rookie,Neutral,5,1,Vaccine,Fire,8,Virus,Earth,6
54,,Salamon,Rookie,Light,4,1,Data,Neutral,6,Free,Plant,8
55,,Betamon,Rookie,Water,4,1,Vaccine,Earth,6,Vaccine,Neutral,8
56,,Hawkmon,Rookie,Wind,5,1,Vaccine,Water,8,Data,Electric,6
57,,Mushroomon,Rookie,Plant,4,1,Data,Earth,6,Data,Fire,6
58,,Monodramon,Rookie,Neutral,4,1,Vaccine,Light,8,Virus,Dark,8
59,,Lalamon,Rookie,Plant,4,1,Data,Earth,6,Data,Plant,8
60,,Lucemon,Rookie,Light,14,1,Data,Earth,8,Virus,Earth,6
61,,Lunamon,Rookie,Water,5,1,Virus,Earth,6,Vaccine,Fire,8
62,,Renamon,Rookie,Plant,5,1,Data,Fire,8,Virus,Dark,6
63,,Lopmon,Rookie,Earth,4,1,Vaccine,Wind,8,Free,Plant,8
64,,Wormmon,Rookie,Plant,4,1,Virus,Neutral,6,Virus,Dark,8
65,,IceDevimon,Champion,Water,8,1,Virus,Plant,6,Vaccine,Wind,8
66,,Icemon,Champion,Water,6,2,Data,Fire,6,Data,Earth,6
67,,Aquilamon,Champion,Wind,8,1,Vaccine,Water,6,Vaccine,Wind,6
68,,Agunimon,Champion,Fire,8,1,Vaccine,Neutral,6,Virus,Earth,6
69,,Arcadiamon Champion,Champion,Dark,8,1,Vaccine,Earth,8,Data,Water,6
70,,Ankylomon,Champion,Earth,6,2,Vaccine,Light,8,Virus,Electric,6
71,,Ikkakumon,Champion,Water,8,1,Vaccine,Plant,12,Virus,Dark,14
72,,Wizardmon,Champion,Dark,8,1,Data,Neutral,12,Vaccine,Electric,12
73,,Lobomon,Champion,Light,8,1,Data,Earth,12,Free,Dark,14
74,,Woodmon,Champion,Plant,6,2,Virus,Dark,14,Vaccine,Wind,14
75,,Airdramon,Champion,Wind,6,2,Free,Fire,14,Vaccine,Wind,14
76,,ExVeemon,Champion,Neutral,8,1,Virus,Dark,12,Vaccine,Light,14
77,,Angemon,Champion,Light,8,1,Virus,Plant,12,Vaccine,Fire,12
78,,Ogremon,Champion,Earth,8,1,Free,Light,14,Virus,Wind,12
79,,Guardromon,Champion,Electric,6,2,Data,Electric,10,Virus,Electric,12
80,,Guardromon (Gold),Champion,Electric,6,2,Virus,Earth,14,Vaccine,Electric,12
81,,GaoGamon,Champion,Wind,8,1,Vaccine,Neutral,12,Data,Water,12
82,,Kabuterimon,Champion,Plant,6,2,Vaccine,Dark,14,Free,Light,14
83,,ShellNumemon,Champion,Water,6,2,Virus,Plant,12,Free,Wind,14
84,,Gargomon,Champion,Electric,6,2,Data,Light,12,Virus,Dark,14
85,,Garurumon,Champion,Fire,8,1,Virus,Dark,12,Vaccine,Water,12
86,,Garurumon (Blk),Champion,Fire,8,1,Data,Fire,14,Data,Dark,12
87,,Kyubimon,Champion,Fire,8,1,Virus,Water,12,Vaccine,Light,14
88,,Growlmon,Champion,Fire,8,1,Free,Plant,14,Data,Neutral,12
89,,Kurisarimon,Champion,Dark,8,1,Data,Fire,12,Vaccine,Neutral,14
90,,Greymon,Champion,Fire,8,1,Virus,Water,12,Data,Earth,12
91,,Greymon (Blue),Champion,Fire,8,1,Data,Fire,14,Data,Neutral,12
92,,Clockmon,Champion,Electric,6,2,Virus,Electric,12,Free,Neutral,14
93,,Kuwagamon,Champion,Plant,6,2,Vaccine,Water,12,Data,Earth,12
94,,Gekomon,Champion,Water,6,2,Data,Earth,10,Data,Light,12
95,,Geremon,Champion,Electric,6,2,Data,Wind,12,Virus,Dark,12
96,,Coredramon (Blue),Champion,Wind,8,1,Virus,Dark,10,Virus,Fire,12
97,,Coredramon (Green),Champion,Earth,8,1,Virus,Dark,10,Vaccine,Water,12
98,,GoldNumemon,Champion,Light,6,2,Vaccine,Light,14,Data,Fire,12
99,,Golemon,Champion,Earth,6,2,Virus,Dark,12,Data,Wind,12
100,,Cyclonemon,Champion,Earth,6,2,Data,Earth,10,Data,Water,12
101,,Sangloupmon,Champion,Dark,6,2,Virus,Wind,12,Virus,Fire,14
102,,Sunflowmon,Champion,Plant,6,2,Vaccine,Fire,14,Virus,Fire,14
103,,Seadramon,Champion,Water,6,2,Virus,Electric,12,Data,Electric,10
104,,Coelamon,Champion,Water,6,2,Vaccine,Neutral,12,Vaccine,Wind,12
105,,GeoGreymon,Champion,Fire,8,1,Vaccine,Fire,14,Data,Plant,12
106,,Sukamon,Champion,Earth,6,2,Vaccine,Electric,12,Data,Plant,12
107,,Starmon,Champion,Neutral,6,2,Virus,Neutral,22,Virus,Dark,14
108,,Stingmon,Champion,Plant,8,1,Vaccine,Earth,12,Virus,Earth,12
109,,Strikedramon,Champion,Earth,6,2,Virus,Dark,12,Virus,Dark,20
110,,Zubaeagermon,Champion,Neutral,8,1,Vaccine,Neutral,22,Vaccine,Wind,22
111,,Socerimon,Champion,Water,8,1,Virus,Electric,16,Free,Fire,20
112,,Tankmon,Champion,Electric,6,2,Free,Neutral,20,Free,Water,18
113,,MudFrigimon,Champion,Earth,6,2,Free,Wind,18,Vaccine,Light,20
114,,Tyrannomon,Champion,Fire,6,2,Virus,Dark,20,Vaccine,Fire,20
115,,Gatomon,Champion,Light,8,1,Vaccine,Light,20,Virus,Fire,18
116,,Devimon,Champion,Dark,8,1,Free,Fire,20,Virus,Dark,22
117,,Turuiemon,Champion,Earth,6,2,Virus,Electric,20,Data,Fire,22
118,,Togemon,Champion,Plant,8,1,Virus,Earth,18,Data,Dark,18
119,,Dorugamon,Champion,Earth,8,1,Virus,Plant,18,Virus,Dark,20
120,,Nanimon,Champion,Earth,6,2,Data,Electric,18,Data,Wind,18
121,,Numemon,Champion,Earth,6,2,Vaccine,Earth,22,Virus,Dark,20
122,,Birdramon,Champion,Fire,8,1,Vaccine,Light,20,Vaccine,Light,20
123,,BaoHuckmon,Champion,Fire,8,1,Data,Wind,18,Data,Light,18
